,precision,recall,f1-score,support
Agreement Date,0.6111111111111112,0.7857142857142857,0.6875,70.0
Agreement Date-Answer,0.0,0.0,0.0,64.0
Anti-assignment,0.9454545454545454,0.9285714285714286,0.9369369369369369,56.0
Audit Rights,0.9117647058823529,0.96875,0.9393939393939394,32.0
Cap on Liability,0.9714285714285714,0.8292682926829268,0.8947368421052632,41.0
Document Name,0.9772727272727273,0.9347826086956522,0.9555555555555556,46.0
Effective Date,0.5,0.3448275862068966,0.40816326530612246,58.0
Effective Date-Answer,0.0,0.0,0.0,49.0
Exclusivity,0.5789473684210527,0.8148148148148148,0.676923076923077,27.0
Expiration Date,0.8461538461538461,0.7096774193548387,0.7719298245614035,62.0
Expiration Date-Answer,0.24666666666666667,1.0,0.39572192513368987,37.0
Governing Law,1.0,1.0,1.0,66.0
Insurance,1.0,0.92,0.9583333333333334,25.0
License Grant,0.7941176470588235,0.7105263157894737,0.75,38.0
Parties,1.0,1.0,1.0,76.0
Parties-Answer,0.9868421052631579,1.0,0.9933774834437086,75.0
Post-termination Services,0.6206896551724138,0.6666666666666666,0.6428571428571429,27.0
Renewal Term,0.6764705882352942,0.8846153846153846,0.7666666666666667,26.0
Revenue-Profit Sharing,0.9166666666666666,0.88,0.8979591836734694,25.0
Termination for Convenience,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0
accuracy,0.7432578209277239,0.7432578209277239,0.7432578209277239,0.7432578209277239
macro avg,0.7180681991282504,0.7577996290445074,0.7226916476834043,927.0
weighted avg,0.7177516235205713,0.7432578209277239,0.7178497236270788,927.0
